Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapTime,Position,TireAge,Compound,Stint,PitInTime,PitOutTime,TrackTemp,AirTemp,Humidity,Pressure,WindDirection,WindSpeed,Rainfall,GapAhead,GapBehind,SafetyCar
2024,1,Bahrain Grand Prix,SAR,2,Williams,3.0,0 days 00:01:38.707000,14.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.125,0.053,0
2024,1,Bahrain Grand Prix,STR,18,Aston Martin,3.0,0 days 00:01:38.279000,19.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,-0.558,-0.962,0
2024,1,Bahrain Grand Prix,TSU,22,RB,3.0,0 days 00:01:38.431000,10.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.128,0.076,0
2024,1,Bahrain Grand Prix,VER,1,Red Bull Racing,3.0,0 days 00:01:36.753000,1.0,6.0,SOFT,1.0,,,23.8,18.3,49.0,1017.1,89,1.5,False,,-0.347,0
2024,1,Bahrain Grand Prix,ZHO,24,Kick Sauber,3.0,0 days 00:01:38.582000,13.0,3.0,SOFT,1.0,,,23.8,18.3,49.0,1017.0,32,1.0,False,0.183,0.125,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,4.0,0 days 00:01:38.422000,11.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.112,0.075,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,4.0,0 days 00:01:37.776000,7.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.326,0.121,0
2024,1,Bahrain Grand Prix,BOT,77,Kick Sauber,4.0,0 days 00:01:38.643000,18.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.14,-0.279,0
2024,1,Bahrain Grand Prix,GAS,10,Alpine,4.0,0 days 00:01:38.503000,17.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,-0.122,0.14,0
2024,1,Bahrain Grand Prix,HAM,44,Mercedes,4.0,0 days 00:01:38.287000,9.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.39,0.023,0
2024,1,Bahrain Grand Prix,HUL,27,Haas F1 Team,4.0,0 days 00:01:37.349000,20.0,3.0,HARD,2.0,,,23.6,18.3,49.0,1017.0,37,0.7,False,-1.0150000000000001,,0
2024,1,Bahrain Grand Prix,LEC,16,Ferrari,4.0,0 days 00:01:37.752000,3.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.014,-0.030000000000000027,0
2024,1,Bahrain Grand Prix,MAG,20,Haas F1 Team,4.0,0 days 00:01:38.497000,12.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.075,-0.06899999999999995,0
2024,1,Bahrain Grand Prix,NOR,4,McLaren,4.0,0 days 00:01:37.450000,6.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.186,0.326,0
2024,1,Bahrain Grand Prix,OCO,31,Alpine,4.0,0 days 00:01:38.625000,16.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.015,-0.122,0
2024,1,Bahrain Grand Prix,PER,11,Red Bull Racing,4.0,0 days 00:01:37.722000,4.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,-0.030000000000000027,-0.45799999999999996,0
2024,1,Bahrain Grand Prix,PIA,81,McLaren,4.0,0 days 00:01:37.897000,8.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.121,0.39,0
2024,1,Bahrain Grand Prix,RIC,3,RB,4.0,0 days 00:01:38.610000,15.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.22,0.015,0
2024,1,Bahrain Grand Prix,RUS,63,Mercedes,4.0,0 days 00:01:37.738000,2.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,1.091,0.014,0
2024,1,Bahrain Grand Prix,SAI,55,Ferrari,4.0,0 days 00:01:37.264000,5.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,-0.45799999999999996,0.186,0
2024,1,Bahrain Grand Prix,SAR,2,Williams,4.0,0 days 00:01:38.390000,14.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,-0.038000000000000034,0.22,0
2024,1,Bahrain Grand Prix,STR,18,Aston Martin,4.0,0 days 00:01:38.364000,19.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,-0.279,-1.0150000000000001,0
2024,1,Bahrain Grand Prix,TSU,22,RB,4.0,0 days 00:01:38.310000,10.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,0.023,0.112,0
2024,1,Bahrain Grand Prix,VER,1,Red Bull Racing,4.0,0 days 00:01:36.647000,1.0,7.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,,1.091,0
2024,1,Bahrain Grand Prix,ZHO,24,Kick Sauber,4.0,0 days 00:01:38.428000,13.0,4.0,SOFT,1.0,,,23.7,18.3,49.0,1017.0,24,0.9,False,-0.06899999999999995,-0.038000000000000034,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,5.0,0 days 00:01:38.509000,11.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,0.188,0.067,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,5.0,0 days 00:01:39.292000,8.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,1.433,-0.942,0
2024,1,Bahrain Grand Prix,BOT,77,Kick Sauber,5.0,0 days 00:01:40.087000,19.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,1.362,-2.424,0
2024,1,Bahrain Grand Prix,GAS,10,Alpine,5.0,0 days 00:01:38.664000,17.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,0.024,0.061,0
2024,1,Bahrain Grand Prix,HAM,44,Mercedes,5.0,0 days 00:01:38.350000,9.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,-0.942,-0.029000000000000026,0
2024,1,Bahrain Grand Prix,HUL,27,Haas F1 Team,5.0,0 days 00:01:37.663000,20.0,4.0,HARD,2.0,,,23.5,18.3,50.0,1017.1,236,1.1,False,-2.424,,0
2024,1,Bahrain Grand Prix,LEC,16,Ferrari,5.0,0 days 00:01:38.131000,3.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,0.015,-0.08699999999999997,0
2024,1,Bahrain Grand Prix,MAG,20,Haas F1 Team,5.0,0 days 00:01:38.576000,12.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,0.067,0.222,0
2024,1,Bahrain Grand Prix,NOR,4,McLaren,5.0,0 days 00:01:37.794000,6.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,-0.238,0.065,0
2024,1,Bahrain Grand Prix,OCO,31,Alpine,5.0,0 days 00:01:38.640000,16.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,-0.06399999999999995,0.024,0
2024,1,Bahrain Grand Prix,PER,11,Red Bull Racing,5.0,0 days 00:01:38.044000,4.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,-0.08699999999999997,-0.01200000000000001,0
2024,1,Bahrain Grand Prix,PIA,81,McLaren,5.0,0 days 00:01:37.859000,7.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,0.065,1.433,0
2024,1,Bahrain Grand Prix,RIC,3,RB,5.0,0 days 00:01:38.704000,15.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,-0.05300000000000005,-0.06399999999999995,0
2024,1,Bahrain Grand Prix,RUS,63,Mercedes,5.0,0 days 00:01:38.116000,2.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,0.943,0.015,0
2024,1,Bahrain Grand Prix,SAI,55,Ferrari,5.0,0 days 00:01:38.032000,5.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,-0.01200000000000001,-0.238,0
2024,1,Bahrain Grand Prix,SAR,2,Williams,5.0,0 days 00:01:38.757000,14.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,-0.041000000000000036,-0.05300000000000005,0
2024,1,Bahrain Grand Prix,STR,18,Aston Martin,5.0,0 days 00:01:38.725000,18.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,0.061,1.362,0
2024,1,Bahrain Grand Prix,TSU,22,RB,5.0,0 days 00:01:38.321000,10.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,-0.029000000000000026,0.188,0
2024,1,Bahrain Grand Prix,VER,1,Red Bull Racing,5.0,0 days 00:01:37.173000,1.0,8.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,,0.943,0
2024,1,Bahrain Grand Prix,ZHO,24,Kick Sauber,5.0,0 days 00:01:38.798000,13.0,5.0,SOFT,1.0,,,23.5,18.3,50.0,1017.1,40,1.5,False,0.222,-0.041000000000000036,0
2024,1,Bahrain Grand Prix,ALB,23,Williams,6.0,0 days 00:01:38.575000,11.0,6.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.214,-0.04600000000000004,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,6.0,0 days 00:01:38.053000,8.0,9.0,SOFT,1.0,,,23.5,18.3,49.0,1017.1,0,0.6,False,0.098,0.13,0
